medicine_name,used_for
Paracetamol,बुखार और हल्के दर्द में उपयोगी
Amoxicillin,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen,सूजन और दर्द में राहत के लिए
Ciprofloxacin,संक्रमण के इलाज में उपयोगी
Metronidazole,दस्त और संक्रमण में उपयोगी
Azithromycin,गले और छाती के संक्रमण के लिए
Levocetirizine,एलर्जी और छींक में राहत के लिए
Cetirizine,एलर्जी और खुजली में उपयोगी
Pantoprazole,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine,पेट की गैस और जलन में राहत
Omeprazole,अम्लता में राहत के लिए
Dolo,बुखार और दर्द में उपयोगी
Calpol,बच्चों के बुखार और दर्द के लिए
ORS,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D,हड्डियों की मजबूती के लिए
Calcium,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol,दमा और सांस की तकलीफ में राहत
Betadine,घावों को साफ़ करने के लिए
Domperidone,उल्टी और मतली में राहत के लिए
Diclofenac,दर्द और सूजन में उपयोगी
Paracetamol 2,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 2,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 2,सूजन और दर्द में राहत के लिए
Ciprofloxacin 2,संक्रमण के इलाज में उपयोगी
Metronidazole 2,दस्त और संक्रमण में उपयोगी
Azithromycin 2,गले और छाती के संक्रमण के लिए
Levocetirizine 2,एलर्जी और छींक में राहत के लिए
Cetirizine 2,एलर्जी और खुजली में उपयोगी
Pantoprazole 2,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 2,पेट की गैस और जलन में राहत
Omeprazole 2,अम्लता में राहत के लिए
Dolo 2,बुखार और दर्द में उपयोगी
Calpol 2,बच्चों के बुखार और दर्द के लिए
ORS 2,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 2,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 2,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 2,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 2,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 2,हड्डियों की मजबूती के लिए
Calcium 2,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 2,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 2,दमा और सांस की तकलीफ में राहत
Betadine 2,घावों को साफ़ करने के लिए
Domperidone 2,उल्टी और मतली में राहत के लिए
Diclofenac 2,दर्द और सूजन में उपयोगी
Paracetamol 3,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 3,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 3,सूजन और दर्द में राहत के लिए
Ciprofloxacin 3,संक्रमण के इलाज में उपयोगी
Metronidazole 3,दस्त और संक्रमण में उपयोगी
Azithromycin 3,गले और छाती के संक्रमण के लिए
Levocetirizine 3,एलर्जी और छींक में राहत के लिए
Cetirizine 3,एलर्जी और खुजली में उपयोगी
Pantoprazole 3,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 3,पेट की गैस और जलन में राहत
Omeprazole 3,अम्लता में राहत के लिए
Dolo 3,बुखार और दर्द में उपयोगी
Calpol 3,बच्चों के बुखार और दर्द के लिए
ORS 3,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 3,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 3,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 3,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 3,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 3,हड्डियों की मजबूती के लिए
Calcium 3,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 3,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 3,दमा और सांस की तकलीफ में राहत
Betadine 3,घावों को साफ़ करने के लिए
Domperidone 3,उल्टी और मतली में राहत के लिए
Diclofenac 3,दर्द और सूजन में उपयोगी
Paracetamol 4,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 4,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 4,सूजन और दर्द में राहत के लिए
Ciprofloxacin 4,संक्रमण के इलाज में उपयोगी
Metronidazole 4,दस्त और संक्रमण में उपयोगी
Azithromycin 4,गले और छाती के संक्रमण के लिए
Levocetirizine 4,एलर्जी और छींक में राहत के लिए
Cetirizine 4,एलर्जी और खुजली में उपयोगी
Pantoprazole 4,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 4,पेट की गैस और जलन में राहत
Omeprazole 4,अम्लता में राहत के लिए
Dolo 4,बुखार और दर्द में उपयोगी
Calpol 4,बच्चों के बुखार और दर्द के लिए
ORS 4,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 4,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 4,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 4,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 4,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 4,हड्डियों की मजबूती के लिए
Calcium 4,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 4,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 4,दमा और सांस की तकलीफ में राहत
Betadine 4,घावों को साफ़ करने के लिए
Domperidone 4,उल्टी और मतली में राहत के लिए
Diclofenac 4,दर्द और सूजन में उपयोगी
Paracetamol 5,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 5,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 5,सूजन और दर्द में राहत के लिए
Ciprofloxacin 5,संक्रमण के इलाज में उपयोगी
Metronidazole 5,दस्त और संक्रमण में उपयोगी
Azithromycin 5,गले और छाती के संक्रमण के लिए
